一级分类,品名,最低价,最高价,平均价,产地,单位,发布日期
肉禽蛋,猪肠,19.0,19.0,19.0,,斤,2022-12-31
肉禽蛋,整牛,33.0,33.0,33.0,,斤,2022-12-31
肉禽蛋,牛前腱,38.0,40.0,39.0,,斤,2022-12-31
肉禽蛋,牛后腱,38.0,39.0,38.5,,斤,2022-12-31
肉禽蛋,牛前腿,33.0,34.0,33.5,,斤,2022-12-31
肉禽蛋,牛后腿,33.0,34.0,33.5,,斤,2022-12-31
肉禽蛋,牛腰窝,35.0,36.0,35.5,,斤,2022-12-31
肉禽蛋,肥牛,30.0,35.0,32.5,,斤,2022-12-31
肉禽蛋,牛柳,37.0,37.0,37.0,,斤,2022-12-31
肉禽蛋,精牛柳,38.0,39.0,38.5,,斤,2022-12-31
肉禽蛋,牛腩,33.5,34.5,34.0,,斤,2022-12-31
肉禽蛋,牛林,33.0,33.5,33.25,,斤,2022-12-31
肉禽蛋,牛金钱腱,60.0,60.0,60.0,,斤,2022-12-31
肉禽蛋,牛筋头巴脑,32.0,32.0,32.0,,斤,2022-12-31
肉禽蛋,牛宝,18.0,18.0,18.0,,斤,2022-12-31
肉禽蛋,牛鞭,60.0,60.0,60.0,,斤,2022-12-31
肉禽蛋,牛油,5.0,5.0,5.0,,斤,2022-12-31
肉禽蛋,牛心,10.0,10.0,10.0,,斤,2022-12-31
肉禽蛋,牛舌,43.0,45.0,44.0,,斤,2022-12-31
肉禽蛋,牛骨,4.0,4.0,4.0,,斤,2022-12-31
肉禽蛋,牛排骨,30.0,30.0,30.0,,斤,2022-12-31
肉禽蛋,牛蹄筋,27.0,28.0,27.5,,斤,2022-12-31
肉禽蛋,牛板筋,35.0,35.0,35.0,,斤,2022-12-31
肉禽蛋,牛心管,58.0,58.0,58.0,,斤,2022-12-31
肉禽蛋,牛肚,18.0,20.0,19.0,,斤,2022-12-31
肉禽蛋,牛腰子,10.0,10.0,10.0,,斤,2022-12-31
肉禽蛋,牛尾,35.0,35.0,35.0,,斤,2022-12-31
肉禽蛋,牛百叶,43.0,45.0,44.0,,斤,2022-12-31
肉禽蛋,松花蛋,7.3,10.5,8.9,,斤,2022-12-31
肉禽蛋,鹅蛋,18.0,20.0,19.0,,斤,2022-12-31
肉禽蛋,鹌鹑蛋,6.2,7.0,6.6,,斤,2022-12-31
肉禽蛋,柴鸡蛋,4.6,8.0,6.3,,斤,2022-12-31
肉禽蛋,乌鸡蛋,8.0,9.5,8.75,,斤,2022-12-31
肉禽蛋,鸵鸟蛋,90.0,100.0,95.0,,个,2022-12-31
肉禽蛋,鸽子蛋,3.3,3.5,3.4,,个,2022-12-31
蔬菜,大白菜,0.25,0.55,0.4,冀鲁,斤,2022-12-30
